m;ep;log_ep,log_C 
3;0.000;-716.2806337202;-8.4040244933
3;0.000;-743.3414596327;-8.4040244933
3;0.000;-711.8621826259;-8.4040244933
3;0.000;-716.2806367980;-8.4040244933
3;0.000;-716.2806195487;-8.4040244933
3;0.000;-716.2807997508;-8.4040244933
3;0.000;-716.2806195487;-8.4040244933
3;0.000;-711.8621826527;-8.4040244933
3;0.000;-716.2806336696;-8.4040244933
3;0.000;-741.9551652716;-8.4040244933
3;0.000;-716.2806195487;-8.4040244933
3;0.000;-711.8621826515;-8.4040244933
3;0.000;-716.2830112342;-8.4040244933
3;0.000;-716.2807997508;-8.4040244933
3;0.000;-711.8621826259;-8.4040244933
3;0.000;-716.2806195487;-8.4040244933
4;15.300;2.7278528284;-0.0096301390
4;15.606;2.7476554557;-0.0032779238
4;15.918;2.7674580830;-0.0023402772
4;16.236;2.7872607103;-0.0009354538
4;16.561;2.8070633376;0.0000000000
4;16.892;2.8268659649;0.0000000000
4;17.230;2.8466685922;0.0000000000
4;17.575;2.8664712195;0.0000000000
4;17.926;2.8862738468;0.0000000000
4;18.285;2.9060764741;0.0000000000
4;18.651;2.9258791014;0.0000000000
4;19.024;2.9456817287;0.0000000000
4;19.404;2.9654843560;0.0000000000
4;19.792;2.9852869832;0.0000000000
4;20.188;3.0050896105;0.0000000000
4;20.592;3.0248922378;0.0000000000
4;21.004;3.0446948651;0.0000000000
4;21.424;3.0644974924;0.0000000000
4;21.852;3.0843001197;0.0000000000
4;22.289;3.1041027470;0.0000000000
4;22.735;3.1239053743;0.0000000000
4;23.190;3.1437080016;0.0000000000
4;23.653;3.1635106289;0.0000000000
4;24.127;3.1833132562;0.0000000000
4;24.609;3.2031158835;0.0000000000
4;25.101;3.2229185108;0.0000000000
4;25.603;3.2427211381;0.0000000000
4;26.115;3.2625237654;0.0000000000
4;26.638;3.2823263927;0.0000000000
4;27.170;3.3021290200;0.0000000000
4;27.714;3.3219316473;0.0000000000
4;28.268;3.3417342746;0.0000000000
4;28.833;3.3615369019;0.0000000000
4;29.410;3.3813395292;0.0000000000
4;29.998;3.4011421565;0.0000000000
4;30.598;3.4209447838;0.0000000000
4;31.210;3.4407474111;0.0000000000
4;31.834;3.4605500384;0.0000000000
4;32.471;3.4803526657;0.0000000000
4;33.121;3.5001552929;0.0000000000
4;33.783;3.5199579202;0.0000000000
4;34.459;3.5397605475;0.0000000000
4;35.148;3.5595631748;0.0000000000
4;35.851;3.5793658021;0.0000000000
4;36.568;3.5991684294;0.0000000000
4;37.299;3.6189710567;0.0000000000
4;38.045;3.6387736840;0.0000000000
4;38.806;3.6585763113;0.0000000000
4;39.582;3.6783789386;0.0000000000
4;40.374;3.6981815659;0.0000000000
4;41.181;3.7179841932;0.0000000000
4;42.005;3.7377868205;0.0000000000
4;42.845;3.7575894478;0.0000000000
4;43.702;3.7773920751;0.0000000000
4;44.576;3.7971947024;0.0000000000
4;45.467;3.8169973297;0.0000000000
4;46.377;3.8367999570;0.0000000000
4;47.304;3.8566025843;0.0000000000
4;48.250;3.8764052116;0.0000000000
4;49.215;3.8962078389;0.0000000000
4;50.200;3.9160104662;0.0000000000
4;51.204;3.9358130935;0.0000000000
4;52.228;3.9556157208;0.0000000000
4;53.272;3.9754183481;0.0000000000
4;54.338;3.9952209754;0.0000000000
4;55.425;4.0150236027;0.0000000000
4;56.533;4.0348262299;0.0000000000
4;57.664;4.0546288572;0.0000000000
4;58.817;4.0744314845;0.0000000000
4;59.993;4.0942341118;0.0000000000
4;61.193;4.1140367391;0.0000000000
4;62.417;4.1338393664;0.0000000000
4;63.665;4.1536419937;0.0000000000
4;64.939;4.1734446210;0.0000000000
4;66.238;4.1932472483;0.0000000000
4;67.562;4.2130498756;0.0000000000
4;68.914;4.2328525029;0.0000000000
4;70.292;4.2526551302;0.0000000000
4;0.000;-inf;-inf
4;0.000;-716.2830112342;-inf
4;0.000;-716.2830112342;-inf
4;0.000;-716.2830112342;-inf
4;0.000;-716.2830112342;-inf
4;0.000;-711.8621899990;-inf
4;0.000;-716.2830112247;-inf
4;0.000;-719.0084095205;-inf
4;0.000;-716.2806156743;-inf
4;0.000;-716.2806156744;-inf
4;0.000;-740.2811888380;-inf
4;0.000;-716.2806156743;-inf
4;0.000;-711.8621899991;-inf
4;0.000;-116.1052151732;-inf
4;nan;nan;0.0000000000
4;0.000;-inf;-inf
4;0.000;-716.2806195492;-inf
4;0.000;-716.2806338044;-inf
4;0.000;-738.8988083762;-inf
4;0.000;-711.8621826258;-inf
4;0.000;-716.2806338829;-inf
4;0.000;-716.2806337421;-inf
4;0.000;-inf;-inf
4;0.000;-711.8621826516;-inf
4;0.000;-inf;-inf
4;0.000;-711.8621900122;-inf
4;0.000;-inf;-inf
4;0.000;-inf;-inf
4;-1.000;-nan(ind);-inf
4;0.000;-inf;-inf
4;0.000;-inf;-inf
4;0.000;-inf;-inf
4;0.000;-inf;-inf
4;0.000;-inf;-inf
4;0.000;-711.8621826259;-inf
4;0.000;-716.2806336573;-inf
4;0.000;-719.0404863186;-inf
4;0.000;-716.2806337218;-inf
4;0.000;-744.4400719214;-inf
4;0.000;-711.8621826510;-inf
4;0.000;-716.2808010406;-inf
4;0.000;-743.3414596327;-inf
4;0.000;-744.4400719214;-inf
4;0.000;-716.2808010406;-inf
4;0.000;-711.8621899990;-inf
4;0.000;-inf;-inf
4;0.000;-inf;-inf
4;0.000;-inf;-inf
4;0.000;-716.2807947673;-inf
4;0.000;-711.8621900137;-inf
4;0.000;-744.4400719214;-inf
4;0.000;-719.0084095349;-inf
4;0.000;-711.8621899990;-inf
4;0.000;-744.4400719214;-inf
4;0.000;-744.4400719214;-inf
4;0.000;-744.4400719214;-inf
4;0.000;-inf;-inf
4;0.000;-719.0084095363;-inf
4;0.000;-719.0084095364;-inf
4;0.000;-719.0084095208;-inf
4;0.000;-744.4400719214;-inf
4;0.000;-716.2830112342;-inf
4;0.000;-inf;-inf
4;0.000;-inf;-inf
4;0.000;-716.2807947673;-inf
4;0.000;-711.8621900099;-inf
4;0.000;-719.0084095234;-inf
4;0.000;-744.4400719214;-inf
4;0.000;-716.2806156741;-inf
4;0.000;-716.2806156743;-inf
4;0.000;-inf;-inf
4;-nan;-nan;0.0000000000
4;0.000;-740.2811888380;-inf
4;0.000;-741.6674831991;-inf
4;0.000;-744.4400719214;-inf
4;0.000;-inf;-inf
4;0.000;-716.2806336790;-inf
4;0.000;-716.2807999920;-inf
4;0.000;-716.2806337202;-inf
4;0.000;-743.3414596327;-inf
4;0.000;-711.8621826259;-inf
4;0.000;-716.2806367980;-inf
4;0.000;-716.2806195487;-inf
4;0.000;-716.2807997508;-inf
4;0.000;-716.2806195487;-inf
4;0.000;-711.8621826527;-inf
4;0.000;-716.2806336696;-inf
4;0.000;-741.9551652716;-inf
4;0.000;-716.2806195487;-inf
4;0.000;-711.8621826515;-inf
4;0.000;-716.2830112342;-inf
4;0.000;-716.2807997508;-inf
4;0.000;-711.8621826259;-inf
4;0.000;-716.2806195487;-inf
5;15.300;2.7278528284;-0.0601363406
5;15.606;2.7476554557;-0.0539315637
5;15.918;2.7674580830;-0.0380785086
5;16.236;2.7872607103;-0.0222231368
5;16.561;2.8070633376;-0.0115437853
5;16.892;2.8268659649;-0.0046506019
5;17.230;2.8466685922;-0.0019555127
5;17.575;2.8664712195;-0.0004885198
5;17.926;2.8862738468;0.0000000000
5;18.285;2.9060764741;0.0000000000
5;18.651;2.9258791014;0.0000000000
5;19.024;2.9456817287;0.0000000000
