m;ep;log_ep,log_C 
7;34.459;3.5397605475;0.0000000000
7;35.148;3.5595631748;0.0000000000
7;35.851;3.5793658021;0.0000000000
7;36.568;3.5991684294;0.0000000000
7;37.299;3.6189710567;0.0000000000
7;38.045;3.6387736840;0.0000000000
7;38.806;3.6585763113;0.0000000000
7;39.582;3.6783789386;0.0000000000
7;40.374;3.6981815659;0.0000000000
7;41.181;3.7179841932;0.0000000000
7;42.005;3.7377868205;0.0000000000
7;42.845;3.7575894478;0.0000000000
7;43.702;3.7773920751;0.0000000000
7;44.576;3.7971947024;0.0000000000
7;45.467;3.8169973297;0.0000000000
7;46.377;3.8367999570;0.0000000000
7;47.304;3.8566025843;0.0000000000
7;48.250;3.8764052116;0.0000000000
7;49.215;3.8962078389;0.0000000000
7;50.200;3.9160104662;0.0000000000
7;51.204;3.9358130935;0.0000000000
7;52.228;3.9556157208;0.0000000000
7;53.272;3.9754183481;0.0000000000
7;54.338;3.9952209754;0.0000000000
7;55.425;4.0150236027;0.0000000000
7;56.533;4.0348262299;0.0000000000
7;57.664;4.0546288572;0.0000000000
7;58.817;4.0744314845;0.0000000000
7;59.993;4.0942341118;0.0000000000
7;61.193;4.1140367391;0.0000000000
7;62.417;4.1338393664;0.0000000000
7;63.665;4.1536419937;0.0000000000
7;64.939;4.1734446210;0.0000000000
7;66.238;4.1932472483;0.0000000000
7;67.562;4.2130498756;0.0000000000
7;68.914;4.2328525029;0.0000000000
7;70.292;4.2526551302;0.0000000000
7;0.000;-inf;-inf
7;0.000;-716.2830112342;-inf
7;0.000;-716.2830112342;-inf
7;0.000;-716.2830112342;-inf
7;0.000;-716.2830112342;-inf
7;0.000;-711.8621899990;-inf
7;0.000;-716.2830112247;-inf
7;0.000;-719.0084095205;-inf
7;0.000;-716.2806156743;-inf
7;0.000;-716.2806156744;-inf
7;0.000;-740.2811888380;-inf
7;0.000;-716.2806156743;-inf
7;0.000;-711.8621899991;-inf
7;0.000;-116.1052151732;-inf
7;nan;nan;0.0000000000
7;0.000;-inf;-inf
7;0.000;-716.2806195492;-inf
7;0.000;-716.2806338044;-inf
7;0.000;-738.8988083762;-inf
7;0.000;-711.8621826258;-inf
7;0.000;-716.2806338829;-inf
7;0.000;-716.2806337421;-inf
7;0.000;-inf;-inf
7;0.000;-711.8621826516;-inf
7;0.000;-inf;-inf
7;0.000;-711.8621900122;-inf
7;0.000;-inf;-inf
7;0.000;-inf;-inf
7;-1.000;-nan(ind);-inf
7;0.000;-inf;-inf
7;0.000;-inf;-inf
7;0.000;-inf;-inf
7;0.000;-inf;-inf
7;0.000;-inf;-inf
7;0.000;-711.8621826259;-inf
7;0.000;-716.2806336573;-inf
7;0.000;-719.0404863186;-inf
7;0.000;-716.2806337218;-inf
7;0.000;-744.4400719214;-inf
7;0.000;-711.8621826510;-inf
7;0.000;-716.2808010406;-inf
7;0.000;-743.3414596327;-inf
7;0.000;-744.4400719214;-inf
7;0.000;-716.2808010406;-inf
7;0.000;-711.8621899990;-inf
7;0.000;-inf;-inf
7;0.000;-inf;-inf
7;0.000;-inf;-inf
7;0.000;-716.2807947673;-inf
7;0.000;-711.8621900137;-inf
7;0.000;-744.4400719214;-inf
7;0.000;-719.0084095349;-inf
7;0.000;-711.8621899990;-inf
7;0.000;-744.4400719214;-inf
7;0.000;-744.4400719214;-inf
7;0.000;-744.4400719214;-inf
7;0.000;-inf;-inf
7;0.000;-719.0084095363;-inf
7;0.000;-719.0084095364;-inf
7;0.000;-719.0084095208;-inf
7;0.000;-744.4400719214;-inf
7;0.000;-716.2830112342;-inf
7;0.000;-inf;-inf
7;0.000;-inf;-inf
7;0.000;-716.2807947673;-inf
7;0.000;-711.8621900099;-inf
7;0.000;-719.0084095234;-inf
7;0.000;-744.4400719214;-inf
7;0.000;-716.2806156741;-inf
7;0.000;-716.2806156743;-inf
7;0.000;-inf;-inf
7;-nan;-nan;0.0000000000
7;0.000;-740.2811888380;-inf
7;0.000;-741.6674831991;-inf
7;0.000;-744.4400719214;-inf
7;0.000;-inf;-inf
7;0.000;-716.2806336790;-inf
7;0.000;-716.2807999920;-inf
7;0.000;-716.2806337202;-inf
7;0.000;-743.3414596327;-inf
7;0.000;-711.8621826259;-inf
7;0.000;-716.2806367980;-inf
7;0.000;-716.2806195487;-inf
7;0.000;-716.2807997508;-inf
7;0.000;-716.2806195487;-inf
7;0.000;-711.8621826527;-inf
7;0.000;-716.2806336696;-inf
7;0.000;-741.9551652716;-inf
7;0.000;-716.2806195487;-inf
7;0.000;-711.8621826515;-inf
7;0.000;-716.2830112342;-inf
7;0.000;-716.2807997508;-inf
7;0.000;-711.8621826259;-inf
7;0.000;-716.2806195487;-inf
8;15.300;2.7278528284;-0.1551315529
8;15.606;2.7476554557;-0.1460139384
8;15.918;2.7674580830;-0.1379428696
8;16.236;2.7872607103;-0.1235770998
8;16.561;2.8070633376;-0.1166282405
8;16.892;2.8268659649;-0.1069179058
8;17.230;2.8466685922;-0.1010126827
8;17.575;2.8664712195;-0.0902250916
8;17.926;2.8862738468;-0.0759195669
8;18.285;2.9060764741;-0.0618158072
8;18.651;2.9258791014;-0.0484960898
8;19.024;2.9456817287;-0.0318752085
8;19.404;2.9654843560;-0.0198026273
8;19.792;2.9852869832;-0.0078740564
8;20.188;3.0050896105;-0.0016820862
8;20.592;3.0248922378;0.0000000000
8;21.004;3.0446948651;0.0000000000
8;21.424;3.0644974924;0.0000000000
8;21.852;3.0843001197;0.0000000000
8;22.289;3.1041027470;0.0000000000
8;22.735;3.1239053743;0.0000000000
8;23.190;3.1437080016;0.0000000000
8;23.653;3.1635106289;0.0000000000
8;24.127;3.1833132562;0.0000000000
8;24.609;3.2031158835;0.0000000000
8;25.101;3.2229185108;0.0000000000
8;25.603;3.2427211381;0.0000000000
8;26.115;3.2625237654;0.0000000000
8;26.638;3.2823263927;0.0000000000
8;27.170;3.3021290200;0.0000000000
8;27.714;3.3219316473;0.0000000000
8;28.268;3.3417342746;0.0000000000
8;28.833;3.3615369019;0.0000000000
8;29.410;3.3813395292;0.0000000000
8;29.998;3.4011421565;0.0000000000
8;30.598;3.4209447838;0.0000000000
8;31.210;3.4407474111;0.0000000000
8;31.834;3.4605500384;0.0000000000
8;32.471;3.4803526657;0.0000000000
8;33.121;3.5001552929;0.0000000000
8;33.783;3.5199579202;0.0000000000
8;34.459;3.5397605475;0.0000000000
8;35.148;3.5595631748;0.0000000000
8;35.851;3.5793658021;0.0000000000
8;36.568;3.5991684294;0.0000000000
8;37.299;3.6189710567;0.0000000000
8;38.045;3.6387736840;0.0000000000
8;38.806;3.6585763113;0.0000000000
8;39.582;3.6783789386;0.0000000000
8;40.374;3.6981815659;0.0000000000
8;41.181;3.7179841932;0.0000000000
8;42.005;3.7377868205;0.0000000000
8;42.845;3.7575894478;0.0000000000
8;43.702;3.7773920751;0.0000000000
8;44.576;3.7971947024;0.0000000000
8;45.467;3.8169973297;0.0000000000
8;46.377;3.8367999570;0.0000000000
8;47.304;3.8566025843;0.0000000000
8;48.250;3.8764052116;0.0000000000
8;49.215;3.8962078389;0.0000000000
8;50.200;3.9160104662;0.0000000000
8;51.204;3.9358130935;0.0000000000
8;52.228;3.9556157208;0.0000000000
8;53.272;3.9754183481;0.0000000000
8;54.338;3.9952209754;0.0000000000
8;55.425;4.0150236027;0.0000000000
8;56.533;4.0348262299;0.0000000000
8;57.664;4.0546288572;0.0000000000
8;58.817;4.0744314845;0.0000000000
8;59.993;4.0942341118;0.0000000000
8;61.193;4.1140367391;0.0000000000
8;62.417;4.1338393664;0.0000000000
8;63.665;4.1536419937;0.0000000000
8;64.939;4.1734446210;0.0000000000
8;66.238;4.1932472483;0.0000000000
8;67.562;4.2130498756;0.0000000000
8;68.914;4.2328525029;0.0000000000
8;70.292;4.2526551302;0.0000000000
8;0.000;-inf;-inf
8;0.000;-716.2830112342;-inf
8;0.000;-716.2830112342;-inf
8;0.000;-716.2830112342;-inf
8;0.000;-716.2830112342;-inf
8;0.000;-711.8621899990;-inf
8;0.000;-716.2830112247;-inf
8;0.000;-719.0084095205;-inf
8;0.000;-716.2806156743;-inf
8;0.000;-716.2806156744;-inf
8;0.000;-740.2811888380;-inf
8;0.000;-716.2806156743;-inf
8;0.000;-711.8621899991;-inf
8;0.000;-116.1052151732;-inf
8;nan;nan;0.0000000000
8;0.000;-inf;-inf
8;0.000;-716.2806195492;-inf
8;0.000;-716.2806338044;-inf
8;0.000;-738.8988083762;-inf
8;0.000;-711.8621826258;-inf
8;0.000;-716.2806338829;-inf
8;0.000;-716.2806337421;-inf
8;0.000;-inf;-inf
8;0.000;-711.8621826516;-inf
8;0.000;-inf;-inf
8;0.000;-711.8621900122;-inf
8;0.000;-inf;-inf
8;0.000;-inf;-inf
8;-1.000;-nan(ind);-inf
8;0.000;-inf;-inf
8;0.000;-inf;-inf
8;0.000;-inf;-inf
8;0.000;-inf;-inf
8;0.000;-inf;-inf
8;0.000;-711.8621826259;-inf
8;0.000;-716.2806336573;-inf
8;0.000;-719.0404863186;-inf
8;0.000;-716.2806337218;-inf
8;0.000;-744.4400719214;-inf
8;0.000;-711.8621826510;-inf
8;0.000;-716.2808010406;-inf
8;0.000;-743.3414596327;-inf
8;0.000;-744.4400719214;-inf
8;0.000;-716.2808010406;-inf
8;0.000;-711.8621899990;-inf
8;0.000;-inf;-inf
8;0.000;-inf;-inf
8;0.000;-inf;-inf
8;0.000;-716.2807947673;-inf
8;0.000;-711.8621900137;-inf
8;0.000;-744.4400719214;-inf
8;0.000;-719.0084095349;-inf
8;0.000;-711.8621899990;-inf
8;0.000;-744.4400719214;-inf
8;0.000;-744.4400719214;-inf
8;0.000;-744.4400719214;-inf
8;0.000;-inf;-inf
8;0.000;-719.0084095363;-inf
8;0.000;-719.0084095364;-inf
8;0.000;-719.0084095208;-inf
8;0.000;-744.4400719214;-inf
8;0.000;-716.2830112342;-inf
8;0.000;-inf;-inf
8;0.000;-inf;-inf
8;0.000;-716.2807947673;-inf
8;0.000;-711.8621900099;-inf
8;0.000;-719.0084095234;-inf
8;0.000;-744.4400719214;-inf
8;0.000;-716.2806156741;-inf
8;0.000;-716.2806156743;-inf
8;0.000;-inf;-inf
8;-nan;-nan;0.0000000000
8;0.000;-740.2811888380;-inf
8;0.000;-741.6674831991;-inf
8;0.000;-744.4400719214;-inf
8;0.000;-inf;-inf
8;0.000;-716.2806336790;-inf
8;0.000;-716.2807999920;-inf
8;0.000;-716.2806337202;-inf
8;0.000;-743.3414596327;-inf
8;0.000;-711.8621826259;-inf
8;0.000;-716.2806367980;-inf
8;0.000;-716.2806195487;-inf
8;0.000;-716.2807997508;-inf
8;0.000;-716.2806195487;-inf
8;0.000;-711.8621826527;-inf
8;0.000;-716.2806336696;-inf
8;0.000;-741.9551652716;-inf
8;0.000;-716.2806195487;-inf
8;0.000;-711.8621826515;-inf
8;0.000;-716.2830112342;-inf
8;0.000;-716.2807997508;-inf
8;0.000;-711.8621826259;-inf
8;0.000;-716.2806195487;-inf
